30,2,137,2,34,"ArtifactRenderer@46-79@packages/plugin-canvas/src/ui/artifact-renderer.tsx","packages/plugin-canvas/src/ui/artifact-renderer.tsx","ArtifactRenderer","ArtifactRenderer ( artifact , renderers ArtifactRendererProps )",46,79
14,4,60,2,17,"emit@48-64@packages/plugin-canvas/src/server/artifact-bus.ts","packages/plugin-canvas/src/server/artifact-bus.ts","emit","emit ( conversationId , artifact )",48,64
6,3,38,0,6,"(anonymous)@72-77@packages/plugin-canvas/src/server/artifact-bus.ts","packages/plugin-canvas/src/server/artifact-bus.ts","(anonymous)","(anonymous)",72,77
9,2,49,2,14,"subscribe@65-78@packages/plugin-canvas/src/server/artifact-bus.ts","packages/plugin-canvas/src/server/artifact-bus.ts","subscribe","subscribe ( conversationId , handler )",65,78
3,1,13,0,3,"listConversations@79-81@packages/plugin-canvas/src/server/artifact-bus.ts","packages/plugin-canvas/src/server/artifact-bus.ts","listConversations","listConversations ( )",79,81
3,1,9,0,3,"dispose@82-84@packages/plugin-canvas/src/server/artifact-bus.ts","packages/plugin-canvas/src/server/artifact-bus.ts","dispose","dispose ( )",82,84
9,1,36,0,43,"createArtifactBus@44-86@packages/plugin-canvas/src/server/artifact-bus.ts","packages/plugin-canvas/src/server/artifact-bus.ts","createArtifactBus","createArtifactBus ( )",44,86
2,1,18,2,3,"sortAsc@52-54@packages/plugin-canvas/src/store.ts","packages/plugin-canvas/src/store.ts","sortAsc","sortAsc ( a Artifact , b Artifact )",52,54
1,1,8,0,1,"(anonymous)@59-59@packages/plugin-canvas/src/store.ts","packages/plugin-canvas/src/store.ts","(anonymous)","(anonymous)",59,59
13,5,99,1,13,"insert@55-67@packages/plugin-canvas/src/store.ts","packages/plugin-canvas/src/store.ts","insert","insert ( artifact )",55,67
1,1,6,0,1,"(anonymous)@72-72@packages/plugin-canvas/src/store.ts","packages/plugin-canvas/src/store.ts","(anonymous)","(anonymous)",72,72
5,3,51,0,5,"(anonymous)@91-95@packages/plugin-canvas/src/store.ts","packages/plugin-canvas/src/store.ts","(anonymous)","(anonymous)",91,95
5,6,47,1,5,"nextVersion@98-102@packages/plugin-canvas/src/store.ts","packages/plugin-canvas/src/store.ts","nextVersion","nextVersion ( id )",98,102
1,1,6,0,1,"(anonymous)@113-113@packages/plugin-canvas/src/store.ts","packages/plugin-canvas/src/store.ts","(anonymous)","(anonymous)",113,113
17,6,113,2,17,"delete@103-119@packages/plugin-canvas/src/store.ts","packages/plugin-canvas/src/store.ts","delete","delete ( id , version )",103,119
35,24,282,0,82,"createInMemoryArtifactStore@49-130@packages/plugin-canvas/src/store.ts","packages/plugin-canvas/src/store.ts","createInMemoryArtifactStore","createInMemoryArtifactStore ( )",49,130
21,4,120,1,22,"rowToArtifact@157-178@packages/plugin-canvas/src/store.ts","packages/plugin-canvas/src/store.ts","rowToArtifact","rowToArtifact ( row ArtifactRow )",157,178
